_,_,_,_,_,_,_,PO Num,_,Item No,_,Cntr No,MBL No,Inner Qty,Outer Qty,_,_,_,_,HBL No,_,Est. Del
,,,,,,,3447903,,02493E2100,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3448457,,05266M 080,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3448457,,05266M 095,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3448457,,05266M 110,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3448457,,05266M 115,,UETU5153004,COSU6189092980,2,12,,,,,CHRKHR20023,,02/24/20
,,,,,,,3448457,,05266M 120,,UETU5153004,COSU6189092980,2,12,,,,,CHRKHR20023,,02/24/20
,,,,,,,3448457,,05266M 130,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3448457,,05266W2110,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3448457,,05266W2115,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3440297,,05623W2100,,UETU5153004,COSU6189092980,5,30,,,,,CHRKHR20023,,02/24/20
,,,,,,,3440297,,05623W2095,,UETU5153004,COSU6189092980,3,18,,,,,CHRKHR20023,,02/24/20
,,,,,,,3440297,,05623W2085,,UETU5153004,COSU6189092980,3,18,,,,,CHRKHR20023,,02/24/20
,,,,,,,3440297,,05623M 130,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3440297,,05623M 120,,UETU5153004,COSU6189092980,3,18,,,,,CHRKHR20023,,02/24/20
,,,,,,,3440297,,05623M 115,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3440297,,05623M 100,,UETU5153004,COSU6189092980,4,24,,,,,CHRKHR20023,,02/24/20
,,,,,,,3440297,,05623M 095,,UETU5153004,COSU6189092980,3,18,,,,,CHRKHR20023,,02/24/20
,,,,,,,3448457,,05266W2120,,UETU5153004,COSU6189092980,2,12,,,,,CHRKHR20023,,02/24/20
,,,,,,,3448457,,05266W2130,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3449023,,00435D 085,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3449023,,00435D 095,,UETU5153004,COSU6189092980,2,12,,,,,CHRKHR20023,,02/24/20
,,,,,,,3449023,,00435D 110,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3449023,,00435D 140,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3449023,,00435E2095,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3449023,,00435E2100,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3449023,,00435E2105,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3449023,,00435E2115,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3449023,,00435E2120,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3449023,,00435H 110,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3449023,,02240B 140,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3449023,,02240D 105,,UETU5153004,COSU6189092980,2,12,,,,,CHRKHR20023,,02/24/20
,,,,,,,3449023,,02240E2105,,UETU5153004,COSU6189092980,2,12,,,,,CHRKHR20023,,02/24/20
,,,,,,,3449023,,02240E2110,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
